movieId,title,genres,year,clean_title,genre_list,combined_tags,rating_count,average_rating
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995.0,Money Train,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",,15,2.5
21,Get Shorty (1995),Comedy|Crime|Thriller,1995.0,Get Shorty,"['Comedy', 'Crime', 'Thriller']",hollywood,89,3.49
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995.0,Copycat,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",serial killer,36,3.22
23,Assassins (1995),Action|Crime|Thriller,1995.0,Assassins,"['Action', 'Crime', 'Thriller']",,16,3.12
24,Powder (1995),Drama|Sci-Fi,1995.0,Powder,"['Drama', 'Sci-Fi']",,28,3.12
25,Leaving Las Vegas (1995),Drama|Romance,1995.0,Leaving Las Vegas,"['Drama', 'Romance']",alcoholism,76,3.62
26,Othello (1995),Drama,1995.0,Othello,['Drama'],shakespeare,13,3.5
27,Now and Then (1995),Children|Drama,1995.0,Now and Then,"['Children', 'Drama']",,9,3.33
28,Persuasion (1995),Drama|Romance,1995.0,Persuasion,"['Drama', 'Romance']",in netflix queue jane austen,11,4.23
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995.0,"City of Lost Children, The (Cité des enfants perdus, La)","['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",kidnapping,38,4.01
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995.0,Shanghai Triad (Yao a yao yao dao waipo qiao),"['Crime', 'Drama']",,3,3.0
31,Dangerous Minds (1995),Drama,1995.0,Dangerous Minds,['Drama'],high school teacher,38,3.18
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995.0,Twelve Monkeys (a.k.a. 12 Monkeys),"['Mystery', 'Sci-Fi', 'Thriller']",time travel time travel brad pitt bruce willis mindfuck post apocalyptic post-apocalyptic remake time travel twist ending,177,3.98
34,Babe (1995),Children|Drama,1995.0,Babe,"['Children', 'Drama']",animal movie pigs villain nonexistent or not needed for good story,128,3.65
36,Dead Man Walking (1995),Crime|Drama,1995.0,Dead Man Walking,"['Crime', 'Drama']",death penalty nun,67,3.84
38,It Takes Two (1995),Children|Comedy,1995.0,It Takes Two,"['Children', 'Comedy']",twins,4,2.12
39,Clueless (1995),Comedy|Romance,1995.0,Clueless,"['Comedy', 'Romance']",chick flick funny paul rudd quotable seen more than once emma jane austen,104,3.29
40,"Cry, the Beloved Country (1995)",Drama,1995.0,"Cry, the Beloved Country",['Drama'],in netflix queue south africa,2,4.25
41,Richard III (1995),Drama|War,1995.0,Richard III,"['Drama', 'War']",shakespeare,15,3.7
42,Dead Presidents (1995),Action|Crime|Drama,1995.0,Dead Presidents,"['Action', 'Crime', 'Drama']",,7,3.0
43,Restoration (1995),Drama,1995.0,Restoration,['Drama'],england,8,3.19
44,Mortal Kombat (1995),Action|Adventure|Fantasy,1995.0,Mortal Kombat,"['Action', 'Adventure', 'Fantasy']",,46,2.54
45,To Die For (1995),Comedy|Drama|Thriller,1995.0,To Die For,"['Comedy', 'Drama', 'Thriller']",journalism,32,3.31
46,How to Make an American Quilt (1995),Drama|Romance,1995.0,How to Make an American Quilt,"['Drama', 'Romance']",wedding,15,3.07
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1995.0,Seven (a.k.a. Se7en),"['Mystery', 'Thriller']",mystery twist ending serial killer,203,3.98
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1995.0,Pocahontas,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",,68,3.15
49,When Night Is Falling (1995),Drama|Romance,1995.0,When Night Is Falling,"['Drama', 'Romance']",,1,3.0
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995.0,"Usual Suspects, The","['Crime', 'Mystery', 'Thriller']",mindfuck suspense thriller tricky twist ending heist,204,4.24
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,1995.0,Mighty Aphrodite,"['Comedy', 'Drama', 'Romance']",adoption prostitution,28,3.46
53,Lamerica (1994),Adventure|Drama,1994.0,Lamerica,"['Adventure', 'Drama']",,2,5.0
54,"Big Green, The (1995)",Children|Comedy,1995.0,"Big Green, The","['Children', 'Comedy']",,3,2.33
55,Georgia (1995),Drama,1995.0,Georgia,['Drama'],,1,4.0
57,Home for the Holidays (1995),Drama,1995.0,Home for the Holidays,['Drama'],,8,3.06
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1994.0,"Postman, The (Postino, Il)","['Comedy', 'Drama', 'Romance']",writing,37,4.03
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,1995.0,"Indian in the Cupboard, The","['Adventure', 'Children', 'Fantasy']",,34,3.24
61,Eye for an Eye (1996),Drama|Thriller,1996.0,Eye for an Eye,"['Drama', 'Thriller']",,6,3.75
62,Mr. Holland's Opus (1995),Drama,1995.0,Mr. Holland's Opus,['Drama'],music,80,3.71
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,1996.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"['Comedy', 'Crime']",,7,2.71
64,Two if by Sea (1996),Comedy|Romance,1996.0,Two if by Sea,"['Comedy', 'Romance']",,5,2.2
65,Bio-Dome (1996),Comedy,1996.0,Bio-Dome,['Comedy'],,31,2.53
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,1996.0,Lawnmower Man 2: Beyond Cyberspace,"['Action', 'Sci-Fi', 'Thriller']",,9,2.5
68,French Twist (Gazon maudit) (1995),Comedy|Romance,1995.0,French Twist (Gazon maudit),"['Comedy', 'Romance']",,5,3.4
69,Friday (1995),Comedy,1995.0,Friday,['Comedy'],,20,3.78
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,1996.0,From Dusk Till Dawn,"['Action', 'Comedy', 'Horror', 'Thriller']",,55,3.51
71,Fair Game (1995),Action,1995.0,Fair Game,['Action'],,5,1.7
72,Kicking and Screaming (1995),Comedy|Drama,1995.0,Kicking and Screaming,"['Comedy', 'Drama']",,7,3.21
73,"Misérables, Les (1995)",Drama|War,1995.0,"Misérables, Les","['Drama', 'War']",,13,3.46
74,Bed of Roses (1996),Drama|Romance,1996.0,Bed of Roses,"['Drama', 'Romance']",,8,4.0
75,Big Bully (1996),Comedy|Drama,1996.0,Big Bully,"['Comedy', 'Drama']",,5,2.2
76,Screamers (1995),Action|Sci-Fi|Thriller,1995.0,Screamers,"['Action', 'Sci-Fi', 'Thriller']",,15,3.4
77,Nico Icon (1995),Documentary,1995.0,Nico Icon,['Documentary'],,1,4.0
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,1995.0,"Crossing Guard, The","['Action', 'Crime', 'Drama', 'Thriller']",,3,3.33
79,"Juror, The (1996)",Drama|Thriller,1996.0,"Juror, The","['Drama', 'Thriller']",,17,2.76
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,1995.0,"White Balloon, The (Badkonake sefid)","['Children', 'Drama']",,2,4.0
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,1995.0,Things to Do in Denver When You're Dead,"['Crime', 'Drama', 'Romance']",,14,3.11
82,Antonia's Line (Antonia) (1995),Comedy|Drama,1995.0,Antonia's Line (Antonia),"['Comedy', 'Drama']",,8,3.88
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,1995.0,Once Upon a Time... When We Were Colored,"['Drama', 'Romance']",,1,3.0
85,Angels and Insects (1995),Drama|Romance,1995.0,Angels and Insects,"['Drama', 'Romance']",,7,3.86
86,White Squall (1996),Action|Adventure|Drama,1996.0,White Squall,"['Action', 'Adventure', 'Drama']",,15,3.97
87,Dunston Checks In (1996),Children|Comedy,1996.0,Dunston Checks In,"['Children', 'Comedy']",,7,2.5
88,Black Sheep (1996),Comedy,1996.0,Black Sheep,['Comedy'],,16,3.16
89,Nick of Time (1995),Action|Thriller,1995.0,Nick of Time,"['Action', 'Thriller']",,10,3.25
92,Mary Reilly (1996),Drama|Horror|Thriller,1996.0,Mary Reilly,"['Drama', 'Horror', 'Thriller']",jekyll and hyde,8,2.62
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,1995.0,Vampire in Brooklyn,"['Comedy', 'Horror', 'Romance']",,9,2.83
94,Beautiful Girls (1996),Comedy|Drama|Romance,1996.0,Beautiful Girls,"['Comedy', 'Drama', 'Romance']",,10,3.95
95,Broken Arrow (1996),Action|Adventure|Thriller,1996.0,Broken Arrow,"['Action', 'Adventure', 'Thriller']",,84,3.02
96,In the Bleak Midwinter (1995),Comedy|Drama,1995.0,In the Bleak Midwinter,"['Comedy', 'Drama']",theater,1,3.5
97,"Hate (Haine, La) (1995)",Crime|Drama,1995.0,"Hate (Haine, La)","['Crime', 'Drama']",,10,3.9
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,1995.0,Heidi Fleiss: Hollywood Madam,['Documentary'],,2,5.0
100,City Hall (1996),Drama|Thriller,1996.0,City Hall,"['Drama', 'Thriller']",,14,2.79
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,1996.0,Bottle Rocket,"['Adventure', 'Comedy', 'Crime', 'Romance']",crime off-beat comedy quirky,23,3.78
102,Mr. Wrong (1996),Comedy,1996.0,Mr. Wrong,['Comedy'],,5,2.4
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,1996.0,Unforgettable,"['Mystery', 'Sci-Fi', 'Thriller']",,3,3.0
104,Happy Gilmore (1996),Comedy,1996.0,Happy Gilmore,['Comedy'],test tag golf adam sandler,99,3.44
105,"Bridges of Madison County, The (1995)",Drama|Romance,1995.0,"Bridges of Madison County, The","['Drama', 'Romance']",,23,3.28
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,1994.0,Nobody Loves Me (Keiner liebt mich),"['Comedy', 'Drama']",,1,4.0
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,1996.0,Muppet Treasure Island,"['Adventure', 'Children', 'Comedy', 'Musical']",muppets,26,3.33
108,Catwalk (1996),Documentary,1996.0,Catwalk,['Documentary'],,1,4.0
110,Braveheart (1995),Action|Drama|War,1995.0,Braveheart,"['Action', 'Drama', 'War']",beautiful scenery epic historical inspirational medieval mel gibson oscar (best cinematography) revenge sword fight scotland,237,4.03
111,Taxi Driver (1976),Crime|Drama|Thriller,1976.0,Taxi Driver,"['Crime', 'Drama', 'Thriller']",assassination,104,4.11
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,1995.0,Rumble in the Bronx (Hont faan kui),"['Action', 'Adventure', 'Comedy', 'Crime']",,46,3.54
113,Before and After (1996),Drama|Mystery,1996.0,Before and After,"['Drama', 'Mystery']",,3,3.33
116,Anne Frank Remembered (1995),Documentary,1995.0,Anne Frank Remembered,['Documentary'],holocaust,5,3.9
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,1995.0,"Young Poisoner's Handbook, The","['Crime', 'Drama']",,1,3.0
118,If Lucy Fell (1996),Comedy|Romance,1996.0,If Lucy Fell,"['Comedy', 'Romance']",,2,2.5
119,"Steal Big, Steal Little (1995)",Comedy,1995.0,"Steal Big, Steal Little",['Comedy'],,2,3.0
121,"Boys of St. Vincent, The (1992)",Drama,1992.0,"Boys of St. Vincent, The",['Drama'],,2,4.0
122,Boomerang (1992),Comedy|Romance,1992.0,Boomerang,"['Comedy', 'Romance']",dating,16,2.66
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,1994.0,Chungking Express (Chung Hing sam lam),"['Drama', 'Mystery', 'Romance']",,4,4.38
125,Flirting With Disaster (1996),Comedy,1996.0,Flirting With Disaster,['Comedy'],,12,3.58
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,1994.0,"NeverEnding Story III, The","['Adventure', 'Children', 'Fantasy']",,7,2.0
128,Jupiter's Wife (1994),Documentary,1994.0,Jupiter's Wife,['Documentary'],,1,3.0
129,Pie in the Sky (1996),Comedy|Romance,1996.0,Pie in the Sky,"['Comedy', 'Romance']",,1,2.0
132,Jade (1995),Thriller,1995.0,Jade,['Thriller'],,6,2.83
135,Down Periscope (1996),Comedy,1996.0,Down Periscope,['Comedy'],,31,2.95
137,Man of the Year (1995),Documentary,1995.0,Man of the Year,['Documentary'],,1,3.0
140,Up Close and Personal (1996),Drama|Romance,1996.0,Up Close and Personal,"['Drama', 'Romance']",journalism,16,3.5
141,"Birdcage, The (1996)",Comedy,1996.0,"Birdcage, The",['Comedy'],,86,3.49
144,"Brothers McMullen, The (1995)",Comedy,1995.0,"Brothers McMullen, The",['Comedy'],,12,3.33
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,1995.0,Bad Boys,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",,51,3.25
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,1995.0,"Amazing Panda Adventure, The","['Adventure', 'Children']",,3,3.33
147,"Basketball Diaries, The (1995)",Drama,1995.0,"Basketball Diaries, The",['Drama'],addiction heroin leonardo dicaprio mark wahlberg,15,3.47
148,"Awfully Big Adventure, An (1995)",Drama,1995.0,"Awfully Big Adventure, An",['Drama'],,1,5.0
149,Amateur (1994),Crime|Drama|Thriller,1994.0,Amateur,"['Crime', 'Drama', 'Thriller']",,1,2.0
150,Apollo 13 (1995),Adventure|Drama|IMAX,1995.0,Apollo 13,"['Adventure', 'Drama', 'IMAX']",moon nasa space,201,3.85
151,Rob Roy (1995),Action|Drama|Romance|War,1995.0,Rob Roy,"['Action', 'Drama', 'Romance', 'War']",,44,3.55
152,"Addiction, The (1995)",Drama|Horror,1995.0,"Addiction, The","['Drama', 'Horror']",,2,1.5
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,1995.0,Batman Forever,"['Action', 'Adventure', 'Comedy', 'Crime']",superhero superhero,137,2.92
154,Beauty of the Day (Belle de jour) (1967),Drama,1967.0,Beauty of the Day (Belle de jour),['Drama'],,12,3.88
155,Beyond Rangoon (1995),Adventure|Drama|War,1995.0,Beyond Rangoon,"['Adventure', 'Drama', 'War']",,6,2.42
156,Blue in the Face (1995),Comedy|Drama,1995.0,Blue in the Face,"['Comedy', 'Drama']",,3,3.33
157,Canadian Bacon (1995),Comedy|War,1995.0,Canadian Bacon,"['Comedy', 'War']",,11,2.86
158,Casper (1995),Adventure|Children,1995.0,Casper,"['Adventure', 'Children']",,62,2.81
159,Clockers (1995),Crime|Drama|Mystery,1995.0,Clockers,"['Crime', 'Drama', 'Mystery']",,14,2.89
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,1995.0,Congo,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",michael crichton,57,2.88
161,Crimson Tide (1995),Drama|Thriller|War,1995.0,Crimson Tide,"['Drama', 'Thriller', 'War']",submarine,103,3.64
162,Crumb (1994),Documentary,1994.0,Crumb,['Documentary'],in netflix queue,17,4.21
163,Desperado (1995),Action|Romance|Western,1995.0,Desperado,"['Action', 'Romance', 'Western']",,66,3.56
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,1995.0,Devil in a Blue Dress,"['Crime', 'Film-Noir', 'Mystery', 'Thriller']",,14,3.32
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,1995.0,Die Hard: With a Vengeance,"['Action', 'Crime', 'Thriller']",,144,3.56
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,1995.0,"Doom Generation, The","['Comedy', 'Crime', 'Drama']",,3,2.83
168,First Knight (1995),Action|Drama|Romance,1995.0,First Knight,"['Action', 'Drama', 'Romance']",,54,3.08
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,1995.0,Free Willy 2: The Adventure Home,"['Adventure', 'Children', 'Drama']",,10,2.4
170,Hackers (1995),Action|Adventure|Crime|Thriller,1995.0,Hackers,"['Action', 'Adventure', 'Crime', 'Thriller']",,35,3.23
171,Jeffrey (1995),Comedy|Drama,1995.0,Jeffrey,"['Comedy', 'Drama']",,6,3.83
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,1995.0,Johnny Mnemonic,"['Action', 'Sci-Fi', 'Thriller']",,53,2.68
173,Judge Dredd (1995),Action|Crime|Sci-Fi,1995.0,Judge Dredd,"['Action', 'Crime', 'Sci-Fi']",,62,2.67
174,Jury Duty (1995),Comedy,1995.0,Jury Duty,['Comedy'],,10,2.7
175,Kids (1995),Drama,1995.0,Kids,['Drama'],controversial new york city nudity (full frontal),20,3.98
176,Living in Oblivion (1995),Comedy,1995.0,Living in Oblivion,['Comedy'],,13,4.31
177,Lord of Illusions (1995),Horror,1995.0,Lord of Illusions,['Horror'],,8,2.75
178,Love & Human Remains (1993),Comedy|Drama,1993.0,Love & Human Remains,"['Comedy', 'Drama']",,1,1.0
179,Mad Love (1995),Drama|Romance,1995.0,Mad Love,"['Drama', 'Romance']",,2,1.5
180,Mallrats (1995),Comedy|Romance,1995.0,Mallrats,"['Comedy', 'Romance']",,36,3.4
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,1995.0,Mighty Morphin Power Rangers: The Movie,"['Action', 'Children']",,17,2.26
183,Mute Witness (1994),Comedy|Horror|Thriller,1994.0,Mute Witness,"['Comedy', 'Horror', 'Thriller']",,2,3.5
184,Nadja (1994),Drama,1994.0,Nadja,['Drama'],,2,3.5
185,"Net, The (1995)",Action|Crime|Thriller,1995.0,"Net, The","['Action', 'Crime', 'Thriller']",computers,112,3.04
186,Nine Months (1995),Comedy|Romance,1995.0,Nine Months,"['Comedy', 'Romance']",,48,2.82
187,Party Girl (1995),Comedy,1995.0,Party Girl,['Comedy'],,4,4.12
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,1995.0,"Prophecy, The","['Fantasy', 'Horror', 'Mystery']",,12,3.46
189,Reckless (1995),Comedy|Fantasy,1995.0,Reckless,"['Comedy', 'Fantasy']",,1,3.0
190,Safe (1995),Thriller,1995.0,Safe,['Thriller'],,5,2.8
191,"Scarlet Letter, The (1995)",Drama|Romance,1995.0,"Scarlet Letter, The","['Drama', 'Romance']",,6,2.42
193,Showgirls (1995),Drama,1995.0,Showgirls,['Drama'],,35,2.47
194,Smoke (1995),Comedy|Drama,1995.0,Smoke,"['Comedy', 'Drama']",,18,3.67
195,Something to Talk About (1995),Comedy|Drama|Romance,1995.0,Something to Talk About,"['Comedy', 'Drama', 'Romance']",,10,3.1
196,Species (1995),Horror|Sci-Fi,1995.0,Species,"['Horror', 'Sci-Fi']",,45,2.67
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1995.0,Strange Days,"['Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",,28,3.25
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,1964.0,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)","['Drama', 'Musical', 'Romance']",made me cry,4,4.12
201,Three Wishes (1995),Drama|Fantasy,1995.0,Three Wishes,"['Drama', 'Fantasy']",,1,3.0
202,Total Eclipse (1995),Drama|Romance,1995.0,Total Eclipse,"['Drama', 'Romance']",,1,3.0
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,1995.0,"To Wong Foo, Thanks for Everything! Julie Newmar",['Comedy'],,22,3.43
204,Under Siege 2: Dark Territory (1995),Action,1995.0,Under Siege 2: Dark Territory,['Action'],,30,2.72
205,Unstrung Heroes (1995),Comedy|Drama,1995.0,Unstrung Heroes,"['Comedy', 'Drama']",,9,3.17
206,Unzipped (1995),Documentary,1995.0,Unzipped,['Documentary'],,2,3.0
207,"Walk in the Clouds, A (1995)",Drama|Romance,1995.0,"Walk in the Clouds, A","['Drama', 'Romance']",,21,3.43
208,Waterworld (1995),Action|Adventure|Sci-Fi,1995.0,Waterworld,"['Action', 'Adventure', 'Sci-Fi']",,115,2.91
209,White Man's Burden (1995),Drama,1995.0,White Man's Burden,['Drama'],,3,3.17
210,Wild Bill (1995),Western,1995.0,Wild Bill,['Western'],,4,3.0
211,"Browning Version, The (1994)",Drama,1994.0,"Browning Version, The",['Drama'],,2,3.5
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,1995.0,Bushwhacked,"['Adventure', 'Comedy', 'Crime', 'Mystery']",,3,3.0
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,1994.0,Burnt by the Sun (Utomlyonnye solntsem),['Drama'],,6,3.83
214,Before the Rain (Pred dozhdot) (1994),Drama|War,1994.0,Before the Rain (Pred dozhdot),"['Drama', 'War']",,2,4.0
215,Before Sunrise (1995),Drama|Romance,1995.0,Before Sunrise,"['Drama', 'Romance']",generation x,24,4.04
216,Billy Madison (1995),Comedy,1995.0,Billy Madison,['Comedy'],school adam sandler stop looking at me swan,49,3.33
217,"Babysitter, The (1995)",Drama|Thriller,1995.0,"Babysitter, The","['Drama', 'Thriller']",,6,2.33
218,Boys on the Side (1995),Comedy|Drama,1995.0,Boys on the Side,"['Comedy', 'Drama']",,14,3.43
219,"Cure, The (1995)",Drama,1995.0,"Cure, The",['Drama'],,1,3.0
220,Castle Freak (1995),Horror,1995.0,Castle Freak,['Horror'],,1,3.0
222,Circle of Friends (1995),Drama|Romance,1995.0,Circle of Friends,"['Drama', 'Romance']",ireland,16,3.75
223,Clerks (1994),Comedy,1994.0,Clerks,['Comedy'],cynical hilarious independent film quirky witty generation x,104,3.86
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,1995.0,Don Juan DeMarco,"['Comedy', 'Drama', 'Romance']",mental illness psychology,40,3.61
225,Disclosure (1994),Drama|Thriller,1994.0,Disclosure,"['Drama', 'Thriller']",,52,3.54
227,Drop Zone (1994),Action|Thriller,1994.0,Drop Zone,"['Action', 'Thriller']",,22,2.86
228,Destiny Turns on the Radio (1995),Comedy,1995.0,Destiny Turns on the Radio,['Comedy'],,3,2.33
229,Death and the Maiden (1994),Drama|Thriller,1994.0,Death and the Maiden,"['Drama', 'Thriller']",,7,3.43
230,Dolores Claiborne (1995),Drama|Thriller,1995.0,Dolores Claiborne,"['Drama', 'Thriller']",stephen king,24,3.4
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,1994.0,Dumb & Dumber (Dumb and Dumber),"['Adventure', 'Comedy']",,133,3.06
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,1994.0,Eat Drink Man Woman (Yin shi nan nu),"['Comedy', 'Drama', 'Romance']",in netflix queue,14,3.89
233,Exotica (1994),Drama,1994.0,Exotica,['Drama'],,12,3.5
234,Exit to Eden (1994),Comedy,1994.0,Exit to Eden,['Comedy'],,17,2.59
235,Ed Wood (1994),Comedy|Drama,1994.0,Ed Wood,"['Comedy', 'Drama']",movie business,70,3.68
236,French Kiss (1995),Action|Comedy|Romance,1995.0,French Kiss,"['Action', 'Comedy', 'Romance']",,45,3.48
237,Forget Paris (1995),Comedy|Romance,1995.0,Forget Paris,"['Comedy', 'Romance']",basketball france infertility,22,3.34
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,1995.0,Far From Home: The Adventures of Yellow Dog,"['Adventure', 'Children']",,2,4.0
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,1995.0,"Goofy Movie, A","['Animation', 'Children', 'Comedy', 'Romance']",,17,3.0
240,Hideaway (1995),Thriller,1995.0,Hideaway,['Thriller'],,4,2.38
241,Fluke (1995),Children|Drama,1995.0,Fluke,"['Children', 'Drama']",,1,4.0
242,Farinelli: il castrato (1994),Drama|Musical,1994.0,Farinelli: il castrato,"['Drama', 'Musical']",,5,3.6
243,Gordy (1995),Children|Comedy|Fantasy,1995.0,Gordy,"['Children', 'Comedy', 'Fantasy']",,1,3.0
246,Hoop Dreams (1994),Documentary,1994.0,Hoop Dreams,['Documentary'],basketball,29,4.29
247,Heavenly Creatures (1994),Crime|Drama,1994.0,Heavenly Creatures,"['Crime', 'Drama']",australia,21,3.93
248,Houseguest (1994),Comedy,1994.0,Houseguest,['Comedy'],bad sinbad,17,3.18
249,Immortal Beloved (1994),Drama|Romance,1994.0,Immortal Beloved,"['Drama', 'Romance']",beethoven,18,3.72
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,1995.0,Heavyweights (Heavy Weights),"['Children', 'Comedy']",,6,2.5
251,"Hunted, The (1995)",Action,1995.0,"Hunted, The",['Action'],,3,3.0
252,I.Q. (1994),Comedy|Romance,1994.0,I.Q.,"['Comedy', 'Romance']",einstein,43,3.45
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,1994.0,Interview with the Vampire: The Vampire Chronicles,"['Drama', 'Horror']",,109,3.46
254,Jefferson in Paris (1995),Drama,1995.0,Jefferson in Paris,['Drama'],,1,3.0
255,"Jerky Boys, The (1995)",Comedy,1995.0,"Jerky Boys, The",['Comedy'],,7,2.07
256,Junior (1994),Comedy|Sci-Fi,1994.0,Junior,"['Comedy', 'Sci-Fi']",,35,2.83
257,Just Cause (1995),Mystery|Thriller,1995.0,Just Cause,"['Mystery', 'Thriller']",court,14,3.5
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,1995.0,"Kid in King Arthur's Court, A","['Adventure', 'Children', 'Comedy', 'Fantasy', 'Romance']",,10,2.6
